store_id,region,store_name,store_x,store_y,store_addr,store_addr_new,store_tel,open_hours,website,s_link
41705,강원,만남의식당,37.439094,129.190649,강원도 삼척시 정하동 41-47,강원도 삼척시 새천년도로 84,0335741645,,,359608
41706,강원,바다횟집,37.439269,129.191149,강원도 삼척시 정하동 41,강원도 삼척시 새천년도로 89-1,033-574-3543,,,273588
41707,강원,부일막국수,37.467114,129.163785,강원도 삼척시 갈천동 193-3,강원도 삼척시 새천년도로 596,033-572-1277,,,267569
41708,강원,삼거리식당,37.43643,129.184379,강원도 삼척시 정상동 88,강원도 삼척시 새천년도로 13-2,033-574-2424,,,266620
41709,강원,부명칼국수,37.445355,129.170218,강원도 삼척시 남양동 6-17,강원도 삼척시 사대길 43,0335748514,,,347973
41710,강원,텃밭에노는닭,37.238746,129.045709,강원도 삼척시 도계읍 도계리 312,강원도 삼척시 도계읍 도계로 334,0335419989,,,266590
41711,강원,문화제과,37.380263,129.226778,강원도 삼척시 근덕면 교가리 366-11,강원도 삼척시 근덕면 교가길 14,033-572-3100,,,382853
41712,강원,덕산바다횟집,37.382605,129.244834,강원도 삼척시 근덕면 덕산리 79-2,,033-572-8208,,,266601
41713,강원,세진한우실비,37.235147,129.044917,강원도 삼척시 도계읍 도계리 390-6,강원도 삼척시 도계읍 도계로 290-9,033-541-2238,,,630640
41714,강원,정라횟집,37.443618,129.163425,강원도 삼척시 남양동 17-21,강원도 삼척시 대학로 28,0335733670,,,266594
41715,강원,삼정식당,37.436543,129.186071,강원도 삼척시 정하동 187-15,강원도 삼척시 새천년도로 30 삼정식당 ,0335733233,,,367375
41716,강원,쌍용각,37.43971,129.168163,강원도 삼척시 남양동 334-9,강원 삼척시 오십천로 455,0335728577,,,495322
41717,강원,신다리,37.443558,129.165349,강원도 삼척시 남양동 33-19,강원도 삼척시 진주로 30-49,033-573-5391,,,497410
41718,강원,보스대게,37.466984,129.169691,강원도 삼척시 갈천동 14 퍼시픽모텔 일반음식점-3(5동) ,강원도 삼척시 테마타운길 39 퍼시픽모텔 ,0335758784,,,874320
41719,강원,구름다리,37.447296,129.172202,강원도 삼척시 교동 766-2,,033-572-3300,,,266582
41720,강원,사계절막국수,37.438102,129.151143,강원도 삼척시 원당동 93-7,,033-576-0003,,,266611
41721,강원,영화춘,37.175269,129.334607,강원도 삼척시 원덕읍 호산리 207-77,,033-572-6109,,,266603
41722,강원,춘도식당,37.377906,129.227509,강원 삼척시 근덕면 교가리 361-17,강원 삼척시 근덕면 교가리 361-17,033-573-0447,,,266600
41723,강원,삼척해물 ,37.444867,129.170553,강원도 삼척시 남양동 7-6,,033-574-6611,,,266584
41724,강원,해도지횟집 ,37.465393,129.172184,강원도 삼척시 교동 413-5 삼일횟집,강원도 삼척시 새천년도로 511,033-574-1575,,,266606
41725,강원,먹보왕만두 ,37.443831,129.164933,강원도 삼척시 남양동 33-3,,0335742199,,,266585
41726,강원,맛과향이있는집,37.445924,129.162955,강원도 삼척시 성내동 132-2,,033-575-0215,,,266586
41727,강원,덕성루,37.442461,129.163506,강원도 삼척시 남양동 17-52,강원 삼척시 대학로 16-2,033-574-8860,,,481992
41728,강원,펠리스횟집,37.448,129.188704,강원도 삼척시 정하동 2-1 펠리스횟집 ,강원도 삼척시 새천년도로 199 ,033-573-8810,,,481993
41729,강원,항구식당,37.445269,129.189256,강원도 삼척시 정하동 16,강원 삼척시 새천년도로 169,033-573-0616,,,481994
41730,강원,선미횟집,37.240898,129.311622,강원 삼척시 원덕읍 임원리 128,,033-573-1622,,,371357
41731,강원,평남횟집,37.438971,129.189912,강원도 삼척시 정하동 48,,033-574-8585,,,266614
41732,강원,삼척횟집,37.442218,129.192219,강원도 삼척시 정하동 41-273,,033-574-5240,,,266618
41733,강원,바다마을,37.468775,129.167162,강원도 삼척시 갈천동 14-4 삼척테마타운 3동 102호,,033-572-5559,,,360328
41734,강원,능나도 회 냉면,37.448556,129.169465,강원도 삼척시 당저동 7-3,강원 삼척시 당저동2길 58,033-574-0700,,,482806
41735,강원,정라진수제찹쌀떡,37.442018,129.176597,강원도 삼척시 정상동 453-19,강원도 삼척시 척주로 123-1 ,0335737336,,,873042
41736,강원,호반닭갈비,37.445095,129.163479,강원도 삼척시 당저동 141-14,강원 삼척시 대학로 42-13,0335732913,,,486893
41737,강원,마마티라 다이닝 쏠비치호텔&리조트삼척,37.470329,129.164558,강원도 삼척시 갈천동 225 대명쏠비치호텔&리조트삼척 호텔동 별관,강원도 삼척시 수로부인길 453,033-803-7550,,,873311
41738,강원,오복미가,37.465393,129.172184,강원도 삼척시 교동 413-5,강원 삼척시 새천년도로 511,033-575-7900,,,874318
41739,강원,동승춘,37.442165,129.163481,강원도 삼척시 읍중동 5-7 동승춘,강원도 삼척시 대학로 12,033-574-2082,,,495236
41740,강원,미조리횟집,37.230097,129.345053,강원도 삼척시 원덕읍 임원리 129-3 미조리횟집,강원도 삼척시 원덕읍 임원항구로 23,033-573-3588,,,1161241
41741,강원,명가해물,37.44525,129.164025,강원도 삼척시 당저동 62-6,강원도 삼척시 진주로 50-1,033-573-9950,,,316106
41742,강원,한식당해밀,37.44186,129.137075,강원도 삼척시 자원동 137-1,강원 삼척시 오십천로 155-22,0335741688,,,489420
41743,강원,길모퉁이,37.440095,129.168653,강원도 삼척시 남양동 341,강원도 삼척시 봉황로 9-22,033-574-5428,,,495407
41744,강원,동막식당,37.337073,129.239784,강원 삼척시 근덕면 동막리 584-17,강원도 삼척시 문의재로 3777-12 ,0335735083,,,874016
41745,강원,성준수산,37.463871,129.175922,강원도 삼척시 교동 347-3,강원도 삼척시 새천년도로 467 성준수산회직판장 ,0335738965,,,495290
41746,강원,행복횟집민박,37.384929,129.242561,강원 삼척시 근덕면 덕산리  107-71,,0335723277,,,321569
41747,강원,한우마을,37.458293,129.176854,강원도 삼척시 교동 96,강원 삼척시 뒷나루길 154,0335739235,,,315501
41748,강원,저팔계,37.442476,129.163129,강원도 삼척시 당저동 180-13,강원도 삼척시 대학로 15-1,033-572-8292,,,495263
41749,강원,그린회관,37.440452,129.167201,강원도 삼척시 남양동 94-6,강원 삼척시 중앙시장길 8-46,0335747444,,,495356
41750,강원,대왕족발,37.445733,129.177587,강원도 삼척시 정상동 463-3,강원 삼척시 정상안길 88,033-574-9949,,,495446
41751,강원,남양한우실비식당,37.443768,129.169668,강원도 삼척시 남양동 335-8,강원 삼척시 척주로 54-10,0335743399,,,524346
41752,강원,안동장터국밥,37.445468,129.178013,강원도 삼척시 정상동 459-6,강원 삼척시 정상안1길 13-3,0335739299,,,543064
41753,강원,대게왕국,37.438709,129.187485,강원도 삼척시 정하동 77-2 ,강원도 삼척시 새천년도로 55 대게왕국 ,0335738185,,,572128
41754,강원,하쿠나마타타,37.288259,129.299043,강원도 삼척시 근덕면 용화리 163,강원 삼척시 근덕면 삼척로 2246,0335757319,,,614802
