"store_id","region","store_name","store_x","store_y","store_addr","store_addr_new","open_hours","website","s_link","g_link","d_link","n_link"
1,서울,고성막국수,37.577487,126.816136,서울특별시 강서구 방화동 323-6,서울특별시 강서구 방화대로49길 6-7,"[('월-금,토', '오전 11시 30분 - 오후 8시'), ('쉬는시간 매주 월-금,토', '오후 3시 30분 - 오후 4시 30분'), ('휴무일', '매주 일요일')]",,"254650",https://www.google.com/maps/place/%EA%B3%A0%EC%84%B1%EB%A7%89%EA%B5%AD%EC%88%98/data=!4m2!3m1!1s0x357c9c82eefe1b0f:0xb8c3cf50dac7aa91!10m1!1e1,"2PlFvOD0jd1D","12024487"
2,서울,방화동쭈꾸미마을1997,37.574074,126.811105,서울특별시 강서구 방화동 451-8,서울특별시 강서구 금낭화로15길 12,"['화요일', ['오전 11:30~오후 2:30', '오후 5:00~10:00']],['수요일', ['오전 11:30~오후 2:30', '오후 5:00~10:00']],['목요일', ['오전 11:30~오후 2:30', '오후 5:00~10:00']],['금요일', ['오전 11:30~오후 2:30', '오후 5:00~10:00']],['토요일', ['오전 11:30~오후 3:30', '오후 5:00~10:00']],['일요일', ['오전 11:30~오후 3:30', '오후 5:00~10:00']],['월요일', ['오전 11:30~오후 2:30', '오후 5:00~10:00']]",,"254646",https://www.google.com/maps/place/%EB%B0%A9%ED%99%94%EB%8F%99%EC%AD%88%EA%BE%B8%EB%AF%B8%EB%A7%88%EC%9D%84+1997/data=!4m2!3m1!1s0x357c9c9bab5a5f69:0xd909614126a10390!10m1!1e1,,"12824824"
3,서울,공항칼국수,37.561229,126.809269,서울특별시 강서구 공항동 49-2,서울특별시 강서구 공항대로 18-1,"[('매일', '오전 9시 - 오후 9시                                            (마지막 주문시간 : 오후8시30분까지 (코로나로 인하여 영업시간변경))')]",,"231062",,oRlAVbPn7V43,"19877546"
4,서울,강서복집,37.552067,126.864,서울특별시 강서구 등촌동 648,서울특별시 강서구 공항대로59길 8,"[('매일', '오전 11시 - 오후 10시')]",,"254464",https://www.google.com/maps/place/%EA%B0%95%EC%84%9C%EB%B3%B5%EC%A7%91/data=!4m2!3m1!1s0x357c9c1cb63a1df9:0xf9a17fb55c30af2e!10m1!1e1,"30oYMUbifUBv","11667758"
5,서울,차돌집,37.564134,126.81193,서울특별시 강서구 방화동 611-35,서울특별시 강서구 방화대로21길 85,"[('매일', '정오 12시 - 오후 11시                                            (명절 휴무)')]",,"245562",https://www.google.com/maps/place/%EC%B0%A8%EB%8F%8C%EC%A7%91/data=!4m2!3m1!1s0x357c9c92fc1bece1:0x6b569157bc35cb05!10m1!1e1,c2PBWmURFJVw,"11727382"
6,서울,오남매닭갈비,37.543703,126.84362,서울특별시 강서구 화곡동 110-65,서울특별시 강서구 화곡로 206 삼영빌딩 ,,,"349622",https://www.google.com/maps/place/%EC%98%A4%EB%82%A8%EB%A7%A4%EB%8B%AD%EA%B0%88%EB%B9%84/data=!4m2!3m1!1s0x357c9d932658221b:0x4579d6c1e61da9cf!10m1!1e1,,"1422083628"
7,서울,도일처,37.562124,126.80772,서울특별시 강서구 방화동 621-9,서울특별시 강서구 개화동로31길 6 ,"[('매일', '오전 11시 - 오후 10시                                            (20시 50분 주문마감입니다.)'), ('매일', '오전 11시 - 오후 7시 50분                                            (배달시간입니다.)')]",,"254619",https://www.google.com/maps/place/%EB%8F%84%EC%9D%BC%EC%B2%98/data=!4m2!3m1!1s0x357c9ceb6d1291eb:0xac10ea61731f249!10m1!1e1,M9vl3l8ri8r3,"13574886"
8,서울,원조나주곰탕,37.572675,126.810038,서울특별시 강서구 방화동 559-1,서울특별시 강서구 양천로14길 10,"[('매일', '오전 11시 20분 - 오후 7시 30분                                            (매주 일요일 휴무,오전11:20~13:30  오후16:00~소진시)'), ('쉬는시간 매일', '오후 1시 30분 - 오후 4시                                            (매주 일요일 휴무,오전11:20~13:30  오후16:00~소진시)')]",,"349614",https://www.google.com/maps/place/%EC%9B%90%EC%A1%B0%EB%82%98%EC%A3%BC%EA%B3%B0%ED%83%95/data=!4m2!3m1!1s0x357c9c9a84a8d095:0x2d24c2fc6d16208d!10m1!1e1,EY3QdxatSNOE,"18411290"
9,서울,마곡테이블,37.560491,126.834413,서울특별시 강서구 마곡동 796-5,서울특별시 강서구 마곡중앙6로 63 마곡테크노타워 ,"[('매일', '오전 11시 30분 - 자정 12시                                            (3:00 ~ 5:00 Break time)')]",,"1269671",https://www.google.com/maps/place/%EB%A7%88%EA%B3%A1%ED%85%8C%EC%9D%B4%EB%B8%94/data=!4m2!3m1!1s0x357c9d0814d5dba5:0x75643b6878f5b53f!10m1!1e1,TGbTQNNt7GUu,"1684458315"
10,서울,뷰투베이커리,37.558698,126.823287,서울특별시 강서구 마곡동 746-1,서울특별시 강서구 공항대로 140,"[('월-금,토', '오전 9시 - 오후 9시')]",,"839144",https://www.google.com/maps/place/%EB%B7%B0%ED%88%AC%EB%B2%A0%EC%9D%B4%EC%BB%A4%EB%A6%AC/data=!4m2!3m1!1s0x357c9c8ada6631bd:0x7256413e8ac5df89!10m1!1e1,czaipSl1Eya3,"552040453"
